Chemical Name,Chemical ID
"Phenazone; Antipyrine; 1,2-dihydro-1,5-dimethyl-2-phenyl-3h-pyrazol-3-one; 2,3-dimethyl-1-phenyl-5-pyrazolone; Analgesine; Fenazon; Fenazona; Phenazon",CID51801
"Alfacalcidol; (5z,7e)-9,10-seco-5,7,10(19)-cholestatrien-1alpha,3beta-diol; 1-hydroxycholecalciferol; 1alpha-hydroxy-vitamin d3; 1alpha-hydroxycholecalciferol; 1alpha-hydroxyvitamin d3; 9,10-secocholesta-5,7,10(19)-triene-1alpha,3beta-diol; Alfacalcidolum; Alsiodol; One alpha caps 0.25mcg; One alpha caps 1mcg; One-alpha",CID51802
"Androstenedione; 4-androstene-3,17-dione; 4-androstenedione",CID51814
"Ursodiol; (3alpha,5beta,7beta)-3,7-dihydroxycholan-24-oic acid; (3α,5β,7β)-3,7-dihydroxycholan-24-oic acid; 3alpha,7beta-dihydroxy-5beta-cholan-24-oic acid; Acide ursodesoxycholique; Acido ursodeossicolico; Acido ursodeoxicolico; Acidum ursodeoxycholicum; Actigall; Dom-ursodiol c; Mint-ursodiol; Novo-ursodiol; Pendo-ursodiol c; Phl-ursodiol c; Pms-ursodiol; Pms-ursodiol c; Udca; Urso; Urso 250; Urso ds; Urso forte; Ursodeoxycholate; Ursodeoxycholic acid; Ursodiol tablets usp",CID51827
"Nitrazepam; 1,3-dihydro-7-nitro-5-phenyl-2h-1,4-benzodiazepin-2-one; 2,3-dihydro-7-nitro-5-phenyl-1h-1,4-benzodiazepin-2-one; 7-nitro-1,3-dihydro-5-phenyl-2h-1,4-benzodiazepin-2-one; 7-nitro-5-phenyl-2,3-dihydro-1h-1,4-benzodiazepin-2-one; Apo-nitrazepam tablets bp; Apodorm; Atempol; Benzalin; Calsmin; Eatan; Eunoctin; Gerson; Hipnax; Hipsal; Ibrovek; Imeson; Imesont; Mogadon; N-desmethylnimetazepam; Nelbon; Nelmat; Neozepam; Neuchlonic; Nitrazadon; Nitrazepam-10; Nitrazepam-5; Nitrazepamum; Paxisyn; Pelson; Persopit; Radedorm; Relact; Sandoz nitrazepam; Somitran; Sonebon; Sonnolin; Trazenin",CID51833
"Probucol; 4,4'- (isopropylidenedithio)bis(2,6-di-tert-butylphenol); Acetone bis(3,5-di-tert-butyl-4-hydroxyphenyl) mercaptole; Biphenabid; Bisbid; Bisphenabid; Lesterol; Lorelco; Lurselle; Probucolum; Serterol; Superlipid",CID51834
Lopinavir; Lpv,CID51836
"Thioproperazine; (thioproperazine)-2-dimethylsulfamido-(10-(3-1-methylpiperazinyl-4)propyl)-phenothiazine; 2-dimethylsulfamido-(10-(3-1-methylpiperazinyl-4)propyl)-phenothiazine; N,n-dimethyl-10-[3-(4-methyl-1-piperazinyl)propyl]-10h-phenothiazine-2-sulfonamide; N,n-dimethyl-10-[3-(4-methyl-1-piperazinyl)propyl]phenothiazine-2-sulfonamide; Thioperazine; Thioproperazin; Thioproperazinum; Tioproferazina; Tioproperazina",CID51844
"Genistein; 4',5, 7-trihydroxyisoflavone; 5,7,4'-trihydroxyisoflavone; Genisteol; Genisterin",CID51857
Roflumilast; Daliresp; Daxas; Rof; Roflumilastum,CID51865
"Topiroxostat; 4-(5-(pyridin-4-yl)-1h-1,2,4-triazol-3-yl)pyridine-2-carbonitrile",CID51887
"Rutin; 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4h-chromen-3-yl 6-o-(6-deoxy-alpha-l-mannopyranosyl)-beta-d-glucopyranoside; Phytomelin; Quercetin-3-rutinoside; Rutoside; Sophorin",CID51896
Aica-ribonucleotide; 1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide; 5-amino-1-(5-phospho-d-ribosyl)imidazole-4-carboxamide; 5-aminoimidazole-4-carboxamide ribotide; 5-phosphoribosyl-4-carbamoyl-5-aminoimidazole; 5'-phospho-ribosyl-5-amino-4-imidazole carboxamide; 5'-phosphoribosyl-5-amino-4-imidazolecarboxamide; Acadesine 5'-monophosphate; Aica ribonucleotide; Aicar,CID51898
Piclamilast; Rp 73-401,CID51963
"Castanospermine; (1s-(1α,6β,7α,8β,8αβ))-octahydro-1,6,7,8-indolizinetetrol; (1s,6s,7r,8r,8ar)-1,6,7,8-tetrahydroxyindolizidine; 1,6,7,8-tetrahydroxyoctahydroindolizine",CID51982
"Propylene glycol; 1,2-dihydroxypropane; 1,2-propanediol; 1,2-propylenglykol; 2-hydroxypropanol; Advanced eye relief dry eye rejuvenation; Aloe vera sprayer; Artifical tears; Artificial tears lubricant eye drops; Careone lubricant; Careone ultra lubricant; Cvs long lasting lubricant eye; Cvs long lasting lubricant eye twin pack; Cvs single use lubricant eye drops; Dg lubricant eye drops; Dry eye therapy; Equate lubricant eye; Equate support advanced lubricant; Extreme relief lubricant; Eye drops sy; Eye lubricant; Family care lubricant eye; Family care preservative free single use; Family care single-use eye; Gnp lubricant eye; Gnp lubricating relief eye; Good neighbor pharmacy lubricant eye drops; Good sense lubricant eye; Goodsense lubricant eye drops; Goodsense ultra lubricant; Health mart lubricating tears; Isopropylene glycol; Leader lubricant eye; Leader lubricant eye drops; Leader sterile ultra lubricating eye; Lidl ultra lubricant eye; Lubricant eye; Lubricant eye drops; Lubricant eye drops ultra; Lubricant eye drops/ artificial tears; Lubricating nasal gel; Lubricating nasal mist; Lubricating relief; Meijer lubricant dry eye; Meijer ultra lubricant eye; Methyl glycol; Methylethyl glycol; Methylethylene glycol; Monopropylene glycol; Msm (mosaengmo); Opti-free; Peg-phen lubricant eye drops; Peg-phen ultra lubricant eye drops; Ppd; Propane-1,2-diol; Qc ultra lubricant eye; Quality choice lubricant eye; Rhinaris nasal gel; Rhinaris nasal mist; Rhinedrine lubricant nasal gel; Rhinedrine moisturizing nasal mist -liq nas; Rite aid eye care lubricant; Rugby lubricant eye; Rugby ultra lubricant eye; Salinex nasal lubricant; Salinex nasal lubricant gel; Secaris; Secret key tattoo cover cushion spf50 plus (21 light beige); Secret key tattoo cover cushion spf50 plus (23 natural beige); Soothe; Soothe dry eyes; Soundbody long lasting lubricant; Sunmark lubricant eye drops; Sunmark lubricating tears; Systane; Systane lubricant; Systane lubricant eye drops; Systane sport; Systane ultra; Topcare lubricant eye; Topcare ultra lubricant; Ultra lubricant eye drops; Vitabrid scalp care; Walgreen sterile lubricant; Walgreens lubricant eye; Walgreens lubricant eye drops; Α-propyleneglycol",CID52003
"N,n-dimethylformamide; Dimethylformamide; N-formyldimethylamine; N,n-dimethylmethanamide",CID52008
Hyperforin; Hiperforina; Hyperforine,CID52046
Rolipram; 4-(3-(cyclopentyloxy)-4-methoxyphenyl)-2-pyrrolidinone; Rolipramum,CID52095
Alrestatin,CID52147
"Fidarestat; (s,s)-fidarestat; Aldos",CID52148
Olomoucine,CID52229
"Equilin; 1,3,5,7-estratetraen-3-ol-17-one; 7-dehydroestrone; Dihydroequilenin",CID52287
7-nitroindazole,CID52299
Geldanamycin,CID52467
Farnesol,CID52539
Fexaramine,CID52563
Vorinostat; Octanedioic acid hydroxyamide phenylamide; Saha; Shh; Suberanilohydroxamic acid; Suberoylanilide hydroxamic acid; Vorinostatum; Zolinza,CID52564
"Colforsin; Forskolin; 7β-acetoxy-8,13-epoxy-1α,6β,9α-trihydroxylabd-14-en-11-one; Coleonolk; Colforsina; Colforsine; Colforsinum",CID52596
Sorbinil,CID52689
Piretanide,CID52856
"Dazoxiben; Benzoic acid, 4-(2-(1h-imidazol-1-yl)ethoxy)-; Dazoxibene; Dazoxibenum",CID52955
Zebularine; 1-beta-d-ribofuranosyl-2(1h)-pyrimidinone; 1-beta-d-ribofuranosylpyrimidin-2(1h)-one; Dhz; Pyrimidin-2-one beta-d-ribofuranoside; Pyrimidin-2-one beta-ribofuranoside; Pyrimidin-2-one ribonucleoside,CID52967
Sphingosine,CID53079
2-iminobiotin,CID53191
Ubenimex; Bestatin,CID53241
Naringenin,CID53274
Radicicol,CID53491
"Dnqx; 2,3-quinoxalinedione, 1,4-dihydro-6,7-dinitro-; 6,7-dinitro-1,4-dihydroquinoxaline-2,3-dione; 6,7-dinitroquinoxaline-2,3-dione; Fg-9041",CID53492
Phenacetin; Acetophenetidin; Acetophenetidine; Acetophenetin; Acetphenetidin,CID53509
Cilomilast; Ariflo; Cis-4-cyano-4-(3-(cyclopentyloxy)-4-methoxyphenyl)cyclohexanecarboxylic acid,CID53559
Batimastat,CID53583
Urea; Aluvea; Calmurid crm; Carb-o-philic; Cem-urea; Flexitol heel balm; Gehwol fusskraft callus softener; Gehwol med callus; Gehwol med lipidro; Gordons urea 40; Heel balm; Hydro 35; Hydrophil ont; Keralac; Rea lo 39; Rea lo 40; Remeven; Ti-u-lac lotion; Umecta mousse urea; Umecta pd urea; Umecta urea; Uramaxin; Uramaxin gt; Uramaxin pads; Uramaxin ts; Ure-k; Urea hydrating topical; Urea nail; Urevaz; Utopic; X-viate; Yougreen f,CID53603
Mdl-29951,CID53822
Inosine; Beta-inosine; Hypoxanthosine; Ino; Inosina; Inosinum; Oxiamin; Ribonosine,CID53939
Thiotepa,CID54115
1-benzylimidazole; 1-benzyl-1h-imidazole; N-benzylimidazole,CID54122
Aniracetam; 1-p-anisoyl-2-pyrrolidinone,CID54134
5-iodotubercidin,CID54138
"Aldosterone; (+)-aldosterone; 11beta,21-dihydroxy-3,20-diketo-4-pregnen-18-al; 11beta,21-dihydroxy-3,20-diketopregn-4-ene-18-al; 11beta,21-dihydroxy-3,20-dioxo-4-pregnen-18-al; 11beta,21-dihydroxy-3,20-dioxo-pregn-4-ene-18-al; 11beta,21-dihydroxy-3,20-dioxopregn-4-en-18-al; 11beta,21-dihydroxypregn-4-ene-3,18,20-trione; 18-aldocorticosterone; 18-formyl-11beta,21-dihydroxy-4-pregnene-3,20-dione; 18-oxocorticosterone; Aldocorten; Aldocortene; Aldocortin; Aldosterona; Aldosteronum; D-aldosterone; Electrocortin; Elektrocortin",CID54156
"Corticosterone; (11β)-11,21-dihydroxypregn-4-ene-3,20-dione; 11beta,21-dihydroxy-4-pregnene-3,20-dione; 11β,21-dihydroxyprogesterone; 17-deoxycortisol; Kendall's compound b; Reichstein's substance h",CID54173
Hesperidin,CID54212
Hydroxyfasudil; Hydroxy-fasudil,CID54213
Nimesulide,CID54236
"Nialamide; 1-(2-(benzylcarbamoyl)ethyl)-2-isonicotinoylhydrazine; 1-[2-(benzylcarbamoyl)ethyl]-2-isonicotinoylhydrazine; 2-(2-(benzylcarbamoyl)ethyl)hydrazide isonicotinic acid; 2-(2-(benzylcarbamoyl)ethyl)hydrazide, isonicotinic acid; 2-(2-(benzylcarbamyl)ethyl)hydrazide isonicotinic acid; 2-[2-(benzylcarbamoyl)ethyl]hydrazide isonicotinic acid; Beih; Isonicitinic acid 2-[(2-benzylcarbamoyl)ethyl]hydrazide; Isonicotinic acid 2-((2-benzylcarbamoyl)ethyl)hydrazide; Isonicotinic acid, {2-[2-(benzylcarbamoyl)ethyl]hydrazide}; Isonicotinic acid, {2-[2-(benzylcarbamoylethyl]hydrazide}; Isonicotinic acid, 2-(2-(benzylcarbamoyl)ethyl)hydrazide; Isonicotinic acid, 2-[2- (benzylcarbamoyl)ethyl]hydrazide; Isonicotinic acid, 2-[2-(benzylcarbamoyl)ethyl]hydrazide; Isonicotinic acid, 2-[2-(benzylcarbamoylethyl]hydrazide; N-(2-(benzylcarbamyl)ethylamino)isonicotinamide; N-benzyl-3-(2-isonicotinoylhydrazino)propanamide; N-benzyl-beta-(isonicotinoylhydrazine)propionamide; N-benzyl-beta-(isonicotinylhydrazino)propionamide; N-isonicotinoyl-n'(beta-n-benzylcarboxamidoethyl)hydrazine; N-isonicotinyl hydrazide; Nialamida; Nialamidum; Pyridine-4-carboxylic 2-[2-(benzylcarbamoyl)ethyl]hydrazide",CID54287
"Nomifensine; (+-)-nomifensin; (+-)-nomifensine; (+)-nomifensine; (+)-nomiphensine; (r)-1,2,3,4-tetrahydro-2-methyl-4-phenyl-8-isoquinolinamine; 2-methyl-4-phenyl-1,2,3,4-tetrahydro-8-isoquinolinamine; 8-amino-1,2,3,4-tetrahydro-2-methyl-4-phenylisochinolin; 8-amino-1,2,3,4-tetrahydro-2-methyl-4-phenylisoquinoline; 8-amino-2-methyl-4-phenyl-1,2,3,4-tetrahydroisoquinoline; Nomifensin; Nomifensina; Nomifensinum",CID54288
"Phenolphthalein; 3,3-bis(4-hydroxyphenyl)phthalide; Agarol vanilla laxative liq; Calcium docuphen cap; Correctol laxative tab; Doxidan capsules; Ex-lax light formula lax w stool soften tab; Fenolftalein; Fenolftaleina; Laxarol; Laxative pills - tablet; Laxative tablets; Mucinum tab; Neo prunex jam; Phenolphtaleine; Phenolphthaleinum; Phillips' gelcaps; Phthalimetten; Phthalin; Pilules spark; Women's laxative tablets; Yellow phenolphthalein",CID54289
Zimelidine; (z)-3-(4'-bromophenyl)-3-(3''-pyridyl)dimethylallylamine; (z)-3-[1-(p-bromophenyl)-3-(dimethylamino)propenyl]pyridine; (z)-zimelidine; Cis-zimelidine; Zimeldine,CID54292
Maraviroc; Celsentri; Selzentry,CID54293
Cyproterone; Alti-cpa; Androcur; Androcur depot; Cyproterone 17-o-acetate; Cyproterone acetate; Med-cyproterone; Mylan-cyproterone; Novo-cyproterone; Riva-cyproterone,CID54295
Fluspirilene; Fluspirileno; Fluspirilenum; Imap,CID54296
"Tetrabenazine; 1,2,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-2h-benzo[a]quinolizin-2-one; 2-oxo-3-isobutyl-9,10-dimethoxy-1,2,3,4,6,7-hexahydro-11bh-benzo[a]quinolizine; 2-oxo-3-isobutyl-9,10-dimethoxy-1,3,4,6,7,11b-hexahydro-2h-benzoquinolizine; Apo-tetrabenazine; Nitoman; Pms-tetrabenazine; Tetrabenazina; Tetrabenazine tablets; Tetrabenazinum; Xenazine",CID54297
"Febuxostat; 2-(3-cyano-4-isobutoxyphenyl)-4-methyl- 1,3-thiazole-5-carboxylic acid; Fébuxostat; Febuxostatum; Uloric",CID54305
Dexloxiglumide; Cr 2017,CID54306
Voglibose; Basen,CID54320
"Dppe; Depmpe; N,n-diethyl-2-((4-phenylmethyl)phenoxy)ethanamine; Tesmilifene",CID54338
Itopride; N-(p-(2-(dimethylamino)ethoxy)benzyl)veratramide,CID54346
"Iloperidone; 1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1- piperidinyl]propoxy]-3-methoxyphenyl]ethanone; 4'-(3-(4-(6-fluoro-1,2-benzisoxazol-3-yl)piperidino)propoxy)-3'-methoxyacetophenone; Fanapt; Fanapta; Iloperidona; Iloperidonum; Zomaril",CID54357
Pirfenidone; Esbriet,CID54359
Tipifarnib; Zarnestra,CID54366
Belinostat; Beleodaq,CID54391
Amonafide,CID54393
Lobeline,CID54452
"Oxypurinol; 1h-pyrazolo[3,4-d]pyrimidine-4,6-diol; 1h-pyrazolo[3,4-d]pyrimidine-4,6(5h,7h)-dione; 6-hydroxy allopurinol; Alloxanthin; Alloxanthine; Dhpp; Metabolite of allopurinol; Oxipurinol; Oxipurinolum; Oxoallopurinol; Oxyprim",CID54518
Ibudilast; Ibudilastum,CID54520
Talmapimod,CID54573
Gw-501516; Gw 501516,CID54577
Px-12; 1-methylpropyl 2-imidazolyl disulfide,CID54594
Vx-702,CID54611
Vx-765,CID54632
Huperzine-a,CID54634
Sertindole; 1-[2-[4-[5-chloro-1-(4-fluorophenyl)-indol-3-yl]-1-piperidyl]ethyl]imidazolidin-2-one; Serlect; Sertindol; Sertindolum,CID54726
Rufinamide; Banzel; Xilep ,CID54731
Tolvaptan; Jinarc; Samsca,CID54734
Rivaroxaban; Xarelto,CID54736
Avanafil; (s)-4-(3-chloro-4-methoxybenzylamino)-2-(2-hydroxymethylpyrrolidin-1-yl)-n-pyrimidin-2-ylmethyl-5-pyrimidinecarboxamide; Stendra,CID54737
Amisulpride; 4-amino-n-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-2-methoxybenzamide; 4-amino-n-((1-ethyl-2-pyrrolidinyl)methyl)-5-(ethylsulfonyl)-o-anisamide; Aminosultopride; Amisulprida; Amisulpridum,CID54743
"Ambrisentan; (2s)-2-[(4,6-dimethylpyrimidin-2-yl)oxy]-3-methoxy- 3,3-diphenylpropanoic acid; Letairis; Volibris",CID54747
"Doxercalciferol; (1s,3r,5z,7e,22e)-9,10-secoergosta-5,7,10,22-tetraene-1,3-diol; 1-alpha-hydroxyergocalciferol; 1-hydroxyergocalciferol; 1-hydroxyvitamin d2; 1alpha-hydroxyvitamin d2; 1α-hydroxyergocalciferol; Doxercalciferolum; Hectorol",CID54749
Oxymetholone; 17β-hydroxy-2-hydroxymethylidene-17α-methyl-3-androstanone; Anadrol-50; Anapolon 50; Oximetolona; Oxymetholon; Oxymétholone; Oxymetholonum,CID54750
Etravirine; Intelence,CID54752
Semaxanib,CID54753
Agomelatine; Valdoxan,CID54761
Midostaurin; 4'-n-benzoylstaurosporine; Rydapt,CID54762
"Bosutinib; 4-((2,4-dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile; Bosulif; Bosulif®; Bosutinib monohydrate; Ski 606",CID54765
Axitinib; Axitinibum; Inlyta,CID54766
Odanacatib,CID54771
Lornoxicam; Chlortenoxicam; Lornoxicamum,CID54786
Sulfaphenazole; 1-phenyl-5-sulfanilamidopyrazole; 3-(p-aminobenzenesulfonamido)-2-phenylpyrazole; 5-sulfanilamido-1-phenylpyrazole; N'-(1-phenylpyrazol-5-yl)sulfanilamide; N(1)-(1-phenylpyrazol-5-yl)sulfanilamide; Sulfabid; Sulfafenazol; Sulfafenazolo; Sulfaphenazol; Sulfaphenazolum; Sulphaphenazole,CID54787
"Aceclofenac; 2-[(2,6-dichlorophenyl)amino]benzeneacetic acid carboxymethyl ester; 2-[(2,6-dichlorophenyl)amino]phenylacetoxyacetic acid; 2-[(2',6'-dichlorophenyl)amino]phenylacetoxyacetic acid; Acéclofénac; Aceclofenac betadex; Aceclofenaco; Aceclofenacum; Glycolic acid [o-(2,6-dichloroanilino)phenyl]acetate ester; Pr-82/3",CID54792
Cabazitaxel; Cabazitaxelum; Jevtana; Taxoid xrp6258; Txd258; Xrp6258,CID54797
Capsaicin; (e)-8-methyl-n-vanillyl-6-nonenamide; 2-count heat patches; Antiphlogistine rub a-535 capsaicin gel; Antiphlogistine rub a-535 capsaicin liquid; Apanol linimento obrero; Arth arrest; Arth rx topical analgesic; Arthricare for women extra moisturizing; Arthricare for women quick drying; Arthritazin pain relieving; Arthritazin pain relieving ez; Arthritic pain relief; Arthur itis cream; Astrapharm chilli brand external medicated; Atomic balm; Benejoint; Bio-mega heat therapy; Biomega; Biomega heat pain therapy; Born again super pain relieving lotion; Capsaicin arthritis pain relief cream; Capsaicin forte cream; Capsaicin heat; Capsaicin mild cream; Capsaicin no-fuss applicator; Capsaicin pain relief; Capsaicin regular cream; Capzasin hp arthritis pain relief; Capzasin no mess applicator; Capzasin p arthritis pain relief; Careone arthritis pain relief; Castiva warming; Copperfixx; Coralite medicated heat; Coralite muscle and joint pain relief; Coralite topical analgesic capsaicin heat; Cvs capsaicin; Cvs medicated heat 1 ct; Dr. harveys herbal motion pain formula; Dusel warm arthritis dead sea salt therapy; Earths care arthritis cream; Emu essentials brand pain relieving; Family care arthritis pain relief; Fast arthritis aid pain relieving; Flexxsonic pain relief; Frankie avalons zero pain roll on; Fyzical sports pain relief; Fyzical sports pain relief 2 mild; Gellert joint care; Good neighbor pharmacy arthritis pain relief; Good neighbor pharmacy capsaicin; Guardania pain; Hot pain relief; Hot spot point relief; Hurt blocker pro; Hurt blocker pro pain relief; Isodecenoic acid vanillylamide; Kool heat pain therapy; Leader capsaicin; Livrelief pain relief; Medicated heat; Meijer capsaicin; Miracle plus neck and shoulder pain relief; Miracle plus overnight pain relieving; Moisturizing glucosamine brand; My omega heat therapy; Omega 3; Omega 3 heat therapy; Outdoor hands; Painazin cp; Painbloc24; Paraid hot capsicum; Perform atomic heat; Pure pain relief; Pure relief; Pure relief penetrating pain relief; Qutenza; Red hot; Retadolor pain relief; Rezil; Rite aid capsicum hot; Rub a535 capsaicin; Rugby arthritis pain relieving topical analgesic; Rugby capsaicin external analgesic; Satogesic hot; Screamin hot toast; Sherman and clark pain relieving; Super arthritis pain relief; Sure relief sr relief; Sure result sr relief; Synovium pain relieving gel; Therapatch warm; Trans-8-methyl-n-vanillyl-6-nonenamide; Vantelin hot pain relieving gel patch; Vantelin hot pain relieving gel patch large; Walgreens capsaicin hot; Weh-weh natural pain relief oil; Wellness products j-flex; Wellness products victorx; Wellpatch capsaicin pain relief; Wellpatch warming pain relief; Zostrix foot pain relief; Zostrix high potency foot pain relief; Zostrix hp; Zostrix original strength,CID54798
"Halcinonide; (4as,4br,5s,6as,6bs,9ar,10as,10bs)-6b-(chloroacetyl)-4b-fluoro-5-hydroxy-4a,6a,8,8-tetramethyl-3,4,4a,4b,5,6,6a,6b,9a,10,10a,10b,11,12-tetradecahydro-2h-naphtho[2',1':4,5]indeno[1,2-d][1,3]dioxol-2-one; Halcinonid; Halcinonida; Halcinonidum; Halog",CID54803
Nepafenac; 2-amino-3-benzoylbenzeneacetamide; Ahr 9434; Al 6515; Amfenac amide; Ilevro; Nepafenaco; Nepafenacum; Nevanac,CID54804
Niclosamide,CID54805
Pd-0325901,CID55063
Veliparib; (2r)-2-(7-carbamoyl-1h-benzimidazol-2-yl)-2-methylpyrrolidinium; 2-((2r)-2-methylpyrrolidin-2-yl)-1h-benzimidazole-4-carboxamide,CID55186
Felbinac,CID55415
"Tranilast; N-(3,4-dimethoxycinnamoyl)anthranilic acid; Tranilastum",CID55540
"Emodin; 1,3,8-trihydroxy-6-methyl-9,10-anthracenedione; 1,3,8-trihydroxy-6-methyl-9,10-anthraquinone; Schuttgelb",CID55630
"Epibatidine; (+)-epibatidine; (1r,2r,4s)-epibatidine",CID55635
Ferulic acid,CID55677
Ph-797804,CID55836
Amg-208,CID55960
Efaproxiral,CID56317
Cts-1027,CID56321
